name,effectiveDateTime,frequencyValue,frequencyUnit,matchAll,condition,conditionDetail,frequencyCheck,alarmPointIds,triggerType
"变量触发",null,1,1,false,"A1 ==  true",1,false,,2
"变量触发",,1,1,false,"A1 ==  true",2,false,,2
"变量触发",,1,1,false,"A1 ==  true",3,false,,2
"变量触发",,1,1,false,"A1 ==  true",1,true,,2
"变量触发",,5,2,false,"A1 ==  true",1,true,,2
"变量触发",,1,3,false,"A1 ==  true",1,true,,2
"变量触发",,1,4,false,"A1 ==  true",1,true,,2
"变量触发",,36,5,false,"A1 ==  true",1,true,,2
"变量触发",,1,1,false,"A1 ==  true ||  A12 != '中文'",1,false,,2
"变量触发",,1,1,false,"A2 + A3)  <=  0 ||  (A2 - A3) <= 0",1,false,,2
"变量触发",,1,1,false,"(A2 * A3) > 0 &&  (A2 / A3)>0",1,false,,2
"字段触发",,1,1,false,,1,false,,3
"字段触发",,1,1,true,"A1 ==  true ||  A12 != '中文'",1,false,,3
"字段触发",,1,1,true,"A2 + A3)  <=  0 ||  (A2 - A3) <= 0",1,false,,3
"字段触发",,1,1,true,"(A2 * A3) > 0 &&  (A2 / A3)>0",1,false,,3
"定时触发","2023-05-22T06:15:31.000Z",5,2,false,,1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",1,3,false,,1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",1,4,false,,1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",36,5,false,,1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",1,1,true,"A1 ==  true ||  A12 != '中文'",1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",1,1,true,"A2 + A3)  <=  0 ||  (A2 - A3) <= 0",1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",1,1,true,"(A2 * A3) > 0 &&  (A2 / A3)>0",1,false,,1
"定时触发","2023-05-22T06:15:31.000Z",1,1,false,,1,false,,1
