title,name,description,ServerName,DeviceID,Port,ConnectTimeOut,ResponseTimeout,PduLength,msg
设备IP为空,通道2,设备IP为空,,1,502,3,1000,220,通道配置错误：驱动配置中设备IP不能为空
设备IP非法,通道3,设备IP非法,abc,1,502,3,1000,220,通道配置错误：驱动配置中设备IP<abc>不正确
设备ID为空,通道4,设备ID为空,192.168.2.98,,502,3,1000,220,通道配置错误：驱动配置中设备ID不能为空
设备ID非法,通道5,设备ID非法,192.168.2.98,abc,502,3,1000,220,通道配置错误：驱动配置中设备ID<abc>不正确
端口号为空,通道6,端口号为空,192.168.2.98,1,,3,1000,220,通道配置错误：驱动配置中端口号不能为空
端口号非法,通道7,端口号非法,192.168.2.98,1,abc,3,1000,220,通道配置错误：驱动配置中端口号<abc>不正确
连接超时为空,通道8,连接超时为空,192.168.2.98,1,502,,1000,220,通道配置错误：驱动配置中连接超时不能为空
连接超时非法,通道9,连接超时非法,192.168.2.98,1,502,abc,1000,220,通道配置错误：驱动配置中连接超时<abc>不正确
响应超时为空,通道10,响应超时为空,192.168.2.98,1,502,3,,220,通道配置错误：驱动配置中响应超时不能为空
响应超时非法,通道11,响应超时非法,192.168.2.98,1,502,3,abc,220,通道配置错误：驱动配置中响应超时<abc>不正确
PDU长度为空,通道12,PDU长度为空,192.168.2.98,1,502,3,1000,,通道配置错误：驱动配置中PDU长度不能为空
PDU长度非法,通道13,PDU长度非法,192.168.2.98,1,502,3,1000,abc,通道配置错误：驱动配置中PDU长度<abc>不正确
