title,name,value,result_vaule,allSuccess,errorMsg
B1-int8缩放比：10,B1,1271,1271,false,"请输入正确的值, 应在-1280 - 1270"
B1-int8缩放比：10,B1,-1281,-1281,false,"请输入正确的值, 应在-1280 - 1270"
B2-int8缩放比：0.1,B2,12.8,12.8,false,"请输入正确的值, 应在-12.8 - 12.7"
B2-int8缩放比：0.1,B2,-12.9,-12.9,false,"请输入正确的值, 应在-12.8 - 12.7"
B3-int16缩放比：0.01，小数位：1，舍位,B3,327.68,327.68,false,"请输入正确的值, 应在-327.68 - 327.67"
B3-int16缩放比：0.01，小数位：1，舍位,B3,-327.69,-327.69,false,"请输入正确的值, 应在-327.68 - 327.67"
B4-int16缩放比：0.01，小数位：1，四舍,B4,327.67,327.7,false,"请输入正确的值, 应在-327.68 - 327.67"
B4-int16缩放比：0.01，小数位：1，四舍,B4,-327.68,-327.7,false,"请输入正确的值, 应在-327.68 - 327.67"
B5-int16缩放比：0.01，小数位：1，进位,B5,327.61,-327.7,false,"请输入正确的值, 应在-327.68 - 327.67"
B5-int16缩放比：0.01，小数位：1，进位,B5,-327.61,-327.7,false,"请输入正确的值, 应在-327.68 - 327.67"
A1-二进制,A1,12.8,12.8,false,"请输入正确的值, 应在false - true"
A2-有符号8位整型,A2,126.5,126.5,false,"请输入正确的值, 应在-128 - 127"
A2-有符号8位整型,A2,128,128,false,"请输入正确的值, 应在-128 - 127"
A2-有符号8位整型,A2,-129,-129,false,"请输入正确的值, 应在-128 - 127"
A3-无符号8位整型,A3,254.5,254.5,false,"请输入正确的值, 应在0 - 255"
A3-无符号8位整型,A3,256,256,false,"请输入正确的值, 应在0 - 255"
A3-无符号8位整型,A3,-1,-1,false,"请输入正确的值, 应在0 - 255"
A4-有符号16位整型,A4,32766.5,32766.5,false,"请输入正确的值, 应在-32768 - 32767"
A4-有符号16位整型,A4,32768,32768,false,"请输入正确的值, 应在-32768 - 32767"
A4-有符号16位整型,A4,-32769,-32769,false,"请输入正确的值, 应在-32768 - 32767"
A5-无符号16位整型,A5,65534.5,65534.5,false,"请输入正确的值, 应在0 - 65535"
A5-无符号16位整型,A5,65536,65536,false,"请输入正确的值, 应在0 - 65535"
A5-无符号16位整型,A5,-1,-1,false,"请输入正确的值, 应在0 - 65535"
A6-有符号32位整型,A6,2147483647.5,2147483647.5,false,"请输入正确的值, 应在-2147483648 - 2147483647"
A6-有符号32位整型,A6,2147483648,2147483648,false,"请输入正确的值, 应在-2147483648 - 2147483647"
A6-有符号32位整型,A6,-2147483649,-2147483649,false,"请输入正确的值, 应在-2147483648 - 2147483647"
A7-无符号32位整型,A7,429496724.5,429496724.5,false,"请输入正确的值, 应在0 - 4294967295"
A7-无符号32位整型,A7,4294967296,4294967296,false,"请输入正确的值, 应在0 - 4294967295"
A7-无符号32位整型,A7,-1,-1,false,"请输入正确的值, 应在0 - 4294967295"
A8-有符号64位整型,A8,9223372036854775806.5,9223372036854775806.5,false,"请输入正确的值, 应在-9223372036854775808 - 9223372036854775807"
A8-有符号64位整型,A8,9223372036854775808,9223372036854775808,false,"请输入正确的值, 应在-9223372036854775808 - 9223372036854775807"
A8-有符号64位整型,A8,-9223372036854775809,-9223372036854775809,false,"请输入正确的值, 应在-9223372036854775808 - 9223372036854775807"
A9-无符号64位整型,A9,18446744073709551614.5,18446744073709551614.5,false,"请输入正确的值, 应在0 - 18446744073709551615"
A9-无符号64位整型,A9,18446744073709551616,18446744073709551616,false,"请输入正确的值, 应在0 - 18446744073709551615"
A9-无符号64位整型,A9,-1,-1,false,"请输入正确的值, 应在0 - 18446744073709551615"
A10-F32位浮点数IEEE754,A10,3.40282346638528E+39,3.40282346638528E+39,false,"请输入正确的值, 应在-3.4028234663852886E+38 - 3.4028234663852886E+38"
A10-F32位浮点数IEEE754,A10,-3.40282346638528E+39,-3.40282346638528E+39,false,"请输入正确的值, 应在-3.4028234663852886E+38 - 3.4028234663852886E+38"
A11-F64位浮点数IEEE754,A11,,0,false,"请输入正确的值, 应在-1.7976931348623157E+308 - 1.7976931348623157E+308"
