"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 22:26:21 CST 2024","Tue Jan 16 22:26:21 CST 2024","219","testcase.3_VariableManagement","test_variable_run","TestCreat","","","异常下发内部变量-$csv{title}","异常下发内部变量-$csv{title}"
"passed","Tue Jan 16 22:23:00 CST 2024","Tue Jan 16 22:23:00 CST 2024","18","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部通道必填项-通道名为空","校验内部通道必填项-通道名为空"
"passed","Tue Jan 16 22:32:48 CST 2024","Tue Jan 16 22:32:53 CST 2024","5072","testcase.9_Interconnection","test_interconnection","TestCreat","","","触发配置-定时","触发配置-定时"
"passed","Tue Jan 16 22:26:34 CST 2024","Tue Jan 16 22:26:35 CST 2024","527","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发内部变量-aa12-字符串","下发内部变量-aa12-字符串"
"passed","Tue Jan 16 22:28:29 CST 2024","Tue Jan 16 22:28:29 CST 2024","41","testcase.5_DataManagement","test_data_run","TestCreat","","","通过聚合表获取归档表字段","通过聚合表获取归档表字段"
"passed","Tue Jan 16 22:20:40 CST 2024","Tue Jan 16 22:20:49 CST 2024","9302","testcase.1_EngineeringManagement","test_engineering_run","TestCreat","","","获取工程信息","获取工程信息"
"passed","Tue Jan 16 22:23:28 CST 2024","Tue Jan 16 22:23:28 CST 2024","34","testcase.3_VariableManagement","test_variable_run","TestCreat","","","创建内部变量组","创建内部变量组"
"passed","Tue Jan 16 22:26:49 CST 2024","Tue Jan 16 22:26:50 CST 2024","1026","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发io映射变量_io_A10_77.456","下发io映射变量_io_A10_77.456"
"passed","Tue Jan 16 22:27:39 CST 2024","Tue Jan 16 22:27:39 CST 2024","20","testcase.5_DataManagement","test_data_run","TestCreat","","","异常用例-字段触发","异常用例-字段触发"
"passed","Tue Jan 16 22:21:56 CST 2024","Tue Jan 16 22:21:56 CST 2024","327","testcase.3_VariableManagement","test_variable_run","TestCreat","","","异常下发io变量-A10-F32位浮点数IEEE754","异常下发io变量-A10-F32位浮点数IEEE754"
"passed","Tue Jan 16 22:27:37 CST 2024","Tue Jan 16 22:27:37 CST 2024","37","testcase.5_DataManagement","test_data_run","TestCreat","","","创建文件夹","创建文件夹"
"passed","Tue Jan 16 22:23:38 CST 2024","Tue Jan 16 22:23:38 CST 2024","18","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-int16-设定值非法","校验内部变量必填项-int16-设定值非法"
"passed","Tue Jan 16 22:27:43 CST 2024","Tue Jan 16 22:27:43 CST 2024","58","testcase.5_DataManagement","test_data_run","TestCreat","","","设置聚合表触发配置--定时触发","设置聚合表触发配置--定时触发"
"passed","Tue Jan 16 22:33:21 CST 2024","Tue Jan 16 22:33:26 CST 2024","5052","testcase.9_Interconnection","test_interconnection","TestCreat","","","下发A1=true","下发A1=true"
"passed","Tue Jan 16 22:21:33 CST 2024","Tue Jan 16 22:21:33 CST 2024","14","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验io变量组-变量组重复","校验io变量组-变量组重复"
"passed","Tue Jan 16 22:26:26 CST 2024","Tue Jan 16 22:26:26 CST 2024","530","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发内部变量-aa4-有符号16位整型","下发内部变量-aa4-有符号16位整型"
"passed","Tue Jan 16 22:28:56 CST 2024","Tue Jan 16 22:28:58 CST 2024","2098","testcase.5_DataManagement","test_data_run","TestCreat","","","查询数据（归档表-变量触发）","查询数据（归档表-变量触发）"
"broken","Tue Jan 16 22:33:26 CST 2024","Tue Jan 16 22:33:26 CST 2024","38","testcase.9_Interconnection","test_interconnection","TestCreat","","","刷新-变量触发-插入","刷新-变量触发-插入"
"passed","Tue Jan 16 22:31:57 CST 2024","Tue Jan 16 22:31:57 CST 2024","24","testcase.8_Language","test_language","TestCreat","","","获取语言列表","获取语言列表"
"passed","Tue Jan 16 22:27:43 CST 2024","Tue Jan 16 22:27:43 CST 2024","56","testcase.5_DataManagement","test_data_run","TestCreat","","","设置聚合表触发配置--定时触发","设置聚合表触发配置--定时触发"
"passed","Tue Jan 16 22:23:37 CST 2024","Tue Jan 16 22:23:37 CST 2024","19","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-校验变量名重复","校验内部变量必填项-校验变量名重复"
"passed","Tue Jan 16 22:31:55 CST 2024","Tue Jan 16 22:31:57 CST 2024","2044","testcase.7_HistoryManagement","test_history","TestCreat","","","下发aa10=110.16","下发aa10=110.16"
"passed","Tue Jan 16 22:24:06 CST 2024","Tue Jan 16 22:24:15 CST 2024","9211","testcase.3_VariableManagement","test_variable_run","TestCreat","","","新增内部变量-无符号8位整型","新增内部变量-无符号8位整型"
"passed","Tue Jan 16 22:27:16 CST 2024","Tue Jan 16 22:27:16 CST 2024","39","testcase.4_AlarmManagement","test_alarm","TestCreat","","","创建报警类别项","创建报警类别项"
"passed","Tue Jan 16 22:23:38 CST 2024","Tue Jan 16 22:23:38 CST 2024","18","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-unint8-设定值非法","校验内部变量必填项-unint8-设定值非法"
"passed","Tue Jan 16 22:27:14 CST 2024","Tue Jan 16 22:27:14 CST 2024","42","testcase.4_AlarmManagement","test_alarm","TestCreat","","","更新报警等级","更新报警等级"
"passed","Tue Jan 16 22:27:36 CST 2024","Tue Jan 16 22:27:37 CST 2024","19","testcase.5_DataManagement","test_data_run","TestCreat","","","获取所有文件夹","获取所有文件夹"
"passed","Tue Jan 16 22:21:33 CST 2024","Tue Jan 16 22:21:33 CST 2024","40","testcase.3_VariableManagement","test_variable_run","TestCreat","","","新增临时io变量-后续删除","新增临时io变量-后续删除"
"passed","Tue Jan 16 22:21:35 CST 2024","Tue Jan 16 22:21:35 CST 2024","44","testcase.3_VariableManagement","test_variable_run","TestCreat","","","新增io变量-F64位浮点数IEEE754","新增io变量-F64位浮点数IEEE754"
"passed","Tue Jan 16 22:21:08 CST 2024","Tue Jan 16 22:21:09 CST 2024","1348","testcase.1_EngineeringManagement","test_engineering_run","TestCreat","","","创建工程","创建工程"
"passed","Tue Jan 16 22:28:34 CST 2024","Tue Jan 16 22:28:34 CST 2024","42","testcase.5_DataManagement","test_data_run","TestCreat","","","通过聚合表获取归档表字段","通过聚合表获取归档表字段"
"passed","Tue Jan 16 22:23:37 CST 2024","Tue Jan 16 22:23:37 CST 2024","18","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-int8-设定值为空","校验内部变量必填项-int8-设定值为空"
"passed","Tue Jan 16 22:30:35 CST 2024","Tue Jan 16 22:30:35 CST 2024","66","testcase.6_ViewManagement","test_view","TestCreat","","","移动文件夹","移动文件夹"
"passed","Tue Jan 16 22:23:38 CST 2024","Tue Jan 16 22:23:38 CST 2024","18","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-int64-设定值非法","校验内部变量必填项-int64-设定值非法"
"passed","Tue Jan 16 22:22:20 CST 2024","Tue Jan 16 22:22:21 CST 2024","1032","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发io变量-A3-无符号8位整型","下发io变量-A3-无符号8位整型"
"broken","Tue Jan 16 22:27:32 CST 2024","Tue Jan 16 22:27:32 CST 2024","19","testcase.4_AlarmManagement","test_alarm","TestCreat","","","查询实时报警表","查询实时报警表"
"passed","Tue Jan 16 22:28:43 CST 2024","Tue Jan 16 22:28:45 CST 2024","2014","testcase.5_DataManagement","test_data_run","TestCreat","","","启动报警服务","启动报警服务"
"passed","Tue Jan 16 22:22:05 CST 2024","Tue Jan 16 22:22:06 CST 2024","1031","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发io变量-B5-int16缩放比：0.01，小数位：1，进位","下发io变量-B5-int16缩放比：0.01，小数位：1，进位"
"passed","Tue Jan 16 22:30:37 CST 2024","Tue Jan 16 22:30:37 CST 2024","34","testcase.7_HistoryManagement","test_history","TestCreat","","","创建历史文件夹","创建历史文件夹"
"passed","Tue Jan 16 22:21:47 CST 2024","Tue Jan 16 22:21:47 CST 2024","327","testcase.3_VariableManagement","test_variable_run","TestCreat","","","异常下发io变量-B5-int16缩放比：0.01，小数位：1，进位","异常下发io变量-B5-int16缩放比：0.01，小数位：1，进位"
"passed","Tue Jan 16 22:26:26 CST 2024","Tue Jan 16 22:26:27 CST 2024","532","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发内部变量-aa5-无符号16位整型","下发内部变量-aa5-无符号16位整型"
"passed","Tue Jan 16 22:30:35 CST 2024","Tue Jan 16 22:30:35 CST 2024","36","testcase.6_ViewManagement","test_view","TestCreat","","","获取画面节点","获取画面节点"
"passed","Tue Jan 16 22:23:39 CST 2024","Tue Jan 16 22:23:39 CST 2024","20","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-日期时间-设定值非法","校验内部变量必填项-日期时间-设定值非法"
"passed","Tue Jan 16 22:31:45 CST 2024","Tue Jan 16 22:31:47 CST 2024","2047","testcase.7_HistoryManagement","test_history","TestCreat","","","下发A10=110.15","下发A10=110.15"
"passed","Tue Jan 16 22:21:35 CST 2024","Tue Jan 16 22:21:35 CST 2024","13","testcase.3_VariableManagement","test_variable_run","TestCreat","","","获取服务信息","获取服务信息"
"passed","Tue Jan 16 22:30:37 CST 2024","Tue Jan 16 22:30:37 CST 2024","37","testcase.7_HistoryManagement","test_history","TestCreat","","","创建历史文件夹","创建历史文件夹"
"passed","Tue Jan 16 22:22:54 CST 2024","Tue Jan 16 22:22:55 CST 2024","1044","testcase.3_VariableManagement","test_variable_run","TestCreat","","","读取io变量-A7-无符号32位整型","读取io变量-A7-无符号32位整型"
"passed","Tue Jan 16 22:27:22 CST 2024","Tue Jan 16 22:27:22 CST 2024","17","testcase.4_AlarmManagement","test_alarm","TestCreat","","","查询报警点","查询报警点"
"passed","Tue Jan 16 22:26:27 CST 2024","Tue Jan 16 22:26:27 CST 2024","532","testcase.3_VariableManagement","test_variable_run","TestCreat","","","下发内部变量-aa5-无符号16位整型","下发内部变量-aa5-无符号16位整型"
"passed","Tue Jan 16 22:27:40 CST 2024","Tue Jan 16 22:27:40 CST 2024","62","testcase.5_DataManagement","test_data_run","TestCreat","","","设置聚合表触发配置--变量触发","设置聚合表触发配置--变量触发"
"passed","Tue Jan 16 22:27:43 CST 2024","Tue Jan 16 22:27:43 CST 2024","54","testcase.5_DataManagement","test_data_run","TestCreat","","","设置聚合表触发配置--定时触发","设置聚合表触发配置--定时触发"
"passed","Tue Jan 16 22:23:00 CST 2024","Tue Jan 16 22:23:09 CST 2024","9148","testcase.3_VariableManagement","test_variable_run","TestCreat","","","删除通道1","删除通道1"
"passed","Tue Jan 16 22:32:34 CST 2024","Tue Jan 16 22:32:36 CST 2024","2046","testcase.9_Interconnection","test_interconnection","TestCreat","","","下发A12=中文1","下发A12=中文1"
"passed","Tue Jan 16 22:23:38 CST 2024","Tue Jan 16 22:23:38 CST 2024","17","testcase.3_VariableManagement","test_variable_run","TestCreat","","","校验内部变量必填项-字符串-设定值为空","校验内部变量必填项-字符串-设定值为空"
